,Date-Time,Temperature   (Â°C)
0,2025-02-09 10:36:03,17.93
1,2025-02-09 10:38:03,17.93
2,2025-02-09 10:40:03,17.93
3,2025-02-09 10:42:03,17.93
4,2025-02-09 10:44:03,17.93
5,2025-02-09 10:46:03,17.93
6,2025-02-09 10:48:03,17.93
7,2025-02-09 10:50:03,17.93
8,2025-02-09 10:52:03,17.93
9,2025-02-09 10:54:03,17.93
10,2025-02-09 10:56:03,17.93
11,2025-02-09 10:58:03,17.93
12,2025-02-09 11:00:03,17.93
13,2025-02-09 11:02:03,17.93
14,2025-02-09 11:04:03,17.93
15,2025-02-09 11:06:03,17.93
16,2025-02-09 11:08:03,17.93
17,2025-02-09 11:10:03,17.93
18,2025-02-09 11:12:03,17.93
19,2025-02-09 11:14:03,17.93
20,2025-02-09 11:16:03,17.93
21,2025-02-09 11:18:03,17.93
22,2025-02-09 11:20:03,17.93
23,2025-02-09 11:22:03,17.93
24,2025-02-09 11:24:03,17.93
25,2025-02-09 11:26:03,17.93
26,2025-02-09 11:28:03,17.93
27,2025-02-09 11:30:03,17.93
28,2025-02-09 11:32:03,17.93
29,2025-02-09 11:34:03,17.93
30,2025-02-09 11:36:03,17.93
31,2025-02-09 11:38:03,17.93
32,2025-02-09 11:40:03,17.93
33,2025-02-09 11:42:03,17.93
34,2025-02-09 11:44:03,17.93
35,2025-02-09 11:46:03,17.93
36,2025-02-09 11:48:03,17.93
37,2025-02-09 11:50:03,17.93
38,2025-02-09 11:52:03,17.93
39,2025-02-09 11:54:03,17.93
40,2025-02-09 11:56:03,17.93
41,2025-02-09 11:58:03,17.93
42,2025-02-09 12:00:03,17.93
43,2025-02-09 12:02:03,17.93
44,2025-02-09 12:04:03,17.93
45,2025-02-09 12:06:03,17.93
46,2025-02-09 12:08:03,17.93
47,2025-02-09 12:10:03,17.93
48,2025-02-09 12:12:03,17.93
49,2025-02-09 12:14:03,17.93
50,2025-02-09 12:16:03,17.93
51,2025-02-09 12:18:03,17.93
52,2025-02-09 12:20:03,17.93
53,2025-02-09 12:22:03,17.93
54,2025-02-09 12:24:03,17.93
55,2025-02-09 12:26:03,17.93
56,2025-02-09 12:28:03,17.93
57,2025-02-09 12:30:03,17.93
58,2025-02-09 12:32:03,17.93
59,2025-02-09 12:34:03,17.93
60,2025-02-09 12:36:03,17.93
61,2025-02-09 12:38:03,17.93
62,2025-02-09 12:40:03,17.93
63,2025-02-09 12:42:03,17.93
64,2025-02-09 12:44:03,17.93
65,2025-02-09 12:46:03,17.93
66,2025-02-09 12:48:03,17.93
67,2025-02-09 12:50:03,17.93
68,2025-02-09 12:52:03,17.93
69,2025-02-09 12:54:03,17.93
70,2025-02-09 12:56:03,17.93
71,2025-02-09 12:58:03,17.93
72,2025-02-09 13:00:03,17.93
73,2025-02-09 13:02:03,17.93
74,2025-02-09 13:04:03,17.93
75,2025-02-09 13:06:03,17.93
76,2025-02-09 13:08:03,17.93
77,2025-02-09 13:10:03,17.93
78,2025-02-09 13:12:03,17.93
79,2025-02-09 13:14:03,17.93
80,2025-02-09 13:16:03,17.93
81,2025-02-09 13:18:03,17.93
82,2025-02-09 13:20:03,17.93
83,2025-02-09 13:22:03,17.93
84,2025-02-09 13:24:03,17.93
85,2025-02-09 13:26:03,17.93
86,2025-02-09 13:28:03,17.93
87,2025-02-09 13:30:03,17.93
88,2025-02-09 13:32:03,17.16
89,2025-02-09 13:34:03,16.64
90,2025-02-09 13:36:03,16.21
91,2025-02-09 13:38:03,16.0
92,2025-02-09 13:40:03,15.78
93,2025-02-09 13:42:03,15.61
94,2025-02-09 13:44:03,15.57
95,2025-02-09 13:46:03,15.53
96,2025-02-09 13:48:03,15.44
97,2025-02-09 13:50:03,15.4
98,2025-02-09 13:52:03,15.31
99,2025-02-09 13:54:03,15.36
100,2025-02-09 13:56:03,15.27
101,2025-02-09 13:58:03,15.31
102,2025-02-09 14:00:03,15.27
103,2025-02-09 14:02:03,15.27
104,2025-02-09 14:04:03,15.23
105,2025-02-09 14:06:03,15.27
106,2025-02-09 14:08:03,15.23
107,2025-02-09 14:10:03,15.27
108,2025-02-09 14:12:03,15.27
109,2025-02-09 14:14:03,15.23
110,2025-02-09 14:16:03,15.23
111,2025-02-09 14:18:03,15.23
112,2025-02-09 14:20:03,15.27
113,2025-02-09 14:22:03,15.23
114,2025-02-09 14:24:03,15.27
115,2025-02-09 14:26:03,15.23
116,2025-02-09 14:28:03,15.23
117,2025-02-09 14:30:03,15.18
118,2025-02-09 14:32:03,15.23
119,2025-02-09 14:34:03,15.23
120,2025-02-09 14:36:03,15.18
121,2025-02-09 14:38:03,15.23
122,2025-02-09 14:40:03,15.23
123,2025-02-09 14:42:03,15.27
124,2025-02-09 14:44:03,15.18
125,2025-02-09 14:46:03,15.18
126,2025-02-09 14:48:03,15.18
127,2025-02-09 14:50:03,15.18
128,2025-02-09 14:52:03,15.23
129,2025-02-09 14:54:03,15.18
130,2025-02-09 14:56:03,15.23
131,2025-02-09 14:58:03,15.18
132,2025-02-09 15:00:03,15.23
133,2025-02-09 15:02:03,15.18
134,2025-02-09 15:04:03,15.18
135,2025-02-09 15:06:03,15.23
136,2025-02-09 15:08:03,15.18
137,2025-02-09 15:10:03,15.18
138,2025-02-09 15:12:03,15.23
139,2025-02-09 15:14:03,15.18
140,2025-02-09 15:16:03,15.23
141,2025-02-09 15:18:03,15.18
142,2025-02-09 15:20:03,15.23
143,2025-02-09 15:22:03,15.23
144,2025-02-09 15:24:03,15.18
145,2025-02-09 15:26:03,15.18
146,2025-02-09 15:28:03,15.23
147,2025-02-09 15:30:03,15.18
148,2025-02-09 15:32:03,15.18
149,2025-02-09 15:34:03,15.18
150,2025-02-09 15:36:03,15.18
151,2025-02-09 15:38:03,15.18
152,2025-02-09 15:40:03,15.18
153,2025-02-09 15:42:03,15.18
154,2025-02-09 15:44:03,15.23
155,2025-02-09 15:46:03,15.18
156,2025-02-09 15:48:03,15.14
157,2025-02-09 15:50:03,15.18
158,2025-02-09 15:52:03,15.14
159,2025-02-09 15:54:03,15.23
160,2025-02-09 15:56:03,15.18
161,2025-02-09 15:58:03,15.23
162,2025-02-09 16:00:03,15.23
163,2025-02-09 16:02:03,15.18
164,2025-02-09 16:04:03,15.18
165,2025-02-09 16:06:03,15.23
166,2025-02-09 16:08:03,15.23
167,2025-02-09 16:10:03,15.18
168,2025-02-09 16:12:03,15.18
169,2025-02-09 16:14:03,15.18
170,2025-02-09 16:16:03,15.23
171,2025-02-09 16:18:03,15.14
172,2025-02-09 16:20:03,15.18
173,2025-02-09 16:22:03,15.18
174,2025-02-09 16:24:03,15.23
175,2025-02-09 16:26:03,15.18
176,2025-02-09 16:28:03,15.18
177,2025-02-09 16:30:03,15.18
178,2025-02-09 16:32:03,15.18
179,2025-02-09 16:34:03,15.18
180,2025-02-09 16:36:03,15.23
181,2025-02-09 16:38:03,15.14
182,2025-02-09 16:40:03,15.18
183,2025-02-09 16:42:03,15.18
184,2025-02-09 16:44:03,15.14
185,2025-02-09 16:46:03,15.18
186,2025-02-09 16:48:03,15.18
187,2025-02-09 16:50:03,15.18
188,2025-02-09 16:52:03,15.14
189,2025-02-09 16:54:03,15.14
190,2025-02-09 16:56:03,15.18
191,2025-02-09 16:58:03,15.23
192,2025-02-09 17:00:03,15.18
193,2025-02-09 17:02:03,15.18
194,2025-02-09 17:04:03,15.14
195,2025-02-09 17:06:03,15.18
196,2025-02-09 17:08:03,15.23
197,2025-02-09 17:10:03,15.18
198,2025-02-09 17:12:03,15.18
199,2025-02-09 17:14:03,15.18
